[2019-09-13 05:08:10] main.ERROR: Error: Application is not installed yet.  [] []
[2019-09-13 05:16:14] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:14] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:14] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_31","FPC"],"mode":"matchingTag"}} []
[2019-09-13 05:16:14] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:14] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:14] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:14] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:14] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_32","FPC"],"mode":"matchingTag"}} []
[2019-09-13 05:16:14] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:14] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:14] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:14] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:14] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_33","FPC"],"mode":"matchingTag"}} []
[2019-09-13 05:16:14] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:14] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:14] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:14] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:14] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_34","FPC"],"mode":"matchingTag"}} []
[2019-09-13 05:16:14] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:14] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:14] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:14] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-09-13 05:16:14] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_35","FPC"],"mode":"matchingTag"}} []
[2019-09-13 05:16:14] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/jemappelle/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
