"Url","Product ID","Titel","Plaatje","Omschrijving","Category Pad","SubCategory","Prijs","Merk","Levertijd","Oude prijs","Kleur","Product maten","Voorraad","Materiaal","Top product","Geslacht","Plaatje 2"
"https://www.jemappelle.nl/le-legging-stripe","8118","Le Legging Stripe","https://www.jemappelle.nl/media/catalog/product/1/2/1279.1.jpg","Mooie grey melange legging die we graag combineren met onze sweatdresses. Met charmante zilveren tape op beide zijnaden voor extra effect.
Gemaakt van heerlijke katoen met een beetjes elastan zodat de legging ook tijdens het dragen en na het wassen mooi blijft.","","Jemappelle","19,00","Je m appelle","","32,98","","","0","92% Katoen / 8% Elasthan","","","",
"https://www.jemappelle.nl/la-robe-a-la-coco-party-9775","8185","La Robe à la Coco Autumn Grey","https://www.jemappelle.nl/media/catalog/product/1/2/1227.1.jpg","Dit schitterende all season jurkje met subtiele sterrenprint heeft een prachtige fit en kan zowel kort als lang gedragen worden. De hals is ook prachtig wanneer deze off shoulder gedragen wordt. Gemaakt van prachtige modal die zowel tijdens het dragen als wassen heel mooi blijft. Wij combineerden deze Coco dress met sneakers voor een sunny look. 
","","Jemappelle","19,98","Je m appelle","","32,98","","","0","47% Katoen / 45% Modal / 8% Elastan","","","",
"https://www.jemappelle.nl/la-robe-wrinkled-shiny-tape","8203","La Robe Wrinkled Party","https://www.jemappelle.nl/media/catalog/product/1/2/1222.1_3.jpg","Mooi jurkje met subtiel zilveren detail langs de hals. De stof is gerimpeld in de zijnaden waardoor een speels effect ontstaat dat ook nog eens mooi afkleedt. ","★ SALE ★ > SALE €10","SALE €10","32,98","Je m appelle","","43,98","","","0","47% Katoen / 45% Modal / 8% Elastan","","","",
"https://www.jemappelle.nl/la-robe-tie-up-pailletes-etoiles","8221","La Robe Tie Etoiles","https://www.jemappelle.nl/media/catalog/product/1/2/1262.3_1_1.jpg","Heerlijk charmant 2-way jurkje met mooie pailletten details. De linten zijn zowel aan de voor als achterzijde te dragen. 
Chique met een mooie high heel, easy to wear met een leuke sneaker. 
Om je outfit compleet te maken, kies je Le Legging Faux Leather er natuurlijk bij!","","Jemappelle","14,49","Je m appelle","","45,98","","","0","47% Katoen / 45% Modal / 8% Elastan","","","",
"https://www.jemappelle.nl/la-sweatdress-rue-rambon","8304","La Sweatdress Rue Cambon","https://www.jemappelle.nl/media/catalog/product/j/1/j10-1287.1.jpg","Dit mooie zwarte jurkje heeft een prachtige en makkelijk combineerbare stijl. Draag het casual met een skinny denim of legging of combineer het met een mooie panty en high heels voor een geklede look.
Het jurkje is gemaakt van een heerlijke brushed sweatstof met een beetje elastan.
Blijft ook tijdens het dragen mooi in model.","","Jemappelle","40,00","Je m appelle","","54,98","","","0","95% Brushed Katoen / 5% Elasthan","","","",
"https://www.jemappelle.nl/la-robe-tie-up-rouge","8316","La Robe Tie Up","https://www.jemappelle.nl/media/catalog/product/1/2/1232.9.jpg","Deze charmante tie up dress in stijlvol vin rouge met zwart heeft een prachtige maar subtiele dot-print en loopt iets uit, waardoor het een mooie fit heeft die niet tekent. De 2 linten strik je nonchalant aan de achterzijde of voorzijde.
Het jurkje is namelijk aan twee kanten draagbaar.Prachtig met high heels, maar ook heel mooi casual met je favoriete denim. Gemaakt van een mooie kwaliteit katoen met elastan, zodat het jurkje tijdens het dragen en na het wassen ook mooi blijft. 
Strijken niet nodig.","Acties > 2 Jurkjes €50","2 Jurkjes €50","39,98","Je m appelle","","49,98","","","0","47% Katoen / 45% Modal / 8% Elastan","","","",
"https://www.jemappelle.nl/la-robe-wrinkled-noir","8322","La Robe Wrinkled ","https://www.jemappelle.nl/media/catalog/product/1/2/1236.2.jpg","Heerlijk jurkje met mooie fit en prachtige overslag die zowel aan de voorkant als achterkant te strikken is. Een van de meest charmante uit onze collectie! 
Gemaakt van heerlijke modal dat ook tijdens het dragen en na het wassen mooi blijft. Strijken niet nodig.
","","Jemappelle","14,49","Je m appelle","","42,98","","","0","47% Katoen / 45% Modal / 8% Elastan","","","",
"https://www.jemappelle.nl/la-sweatdress-army-d-amour","8391","La Sweatdress Army d'Amour","https://www.jemappelle.nl/media/catalog/product/1/3/1313.1.jpg","Leuke sweatdress in grey melange met zwarte inzet in de zijnaden. De badges geven dit jurkje een sportieve look. 
Deze heerlijke sweatdress draag je met een panty, legging of skinny denim. Gaat de zon schijnen dan draag je dit jurkje met blote benen en leuke sneakers. 
Gemaakt van heerlijke zachte brushed fleece met een beetje elastan. ","★ SALE ★ > SALE €10","SALE €10","39,98","Je m appelle","","54,98","","","0","95% Brushed Katoen / 5% Elasthan","","","",
"https://www.jemappelle.nl/la-robe-clever","8409","La Robe Clever","https://www.jemappelle.nl/media/catalog/product/1/3/1329_6.2.jpg","Deze little black dress heeft een prachtige slimme pasvorm. Je draagt het jurkje gekleed met een high heel en sportief met een sneaker. Combineer de cleverdress nu met een panty of legging. In het voorjaar is dit jurkje ook prachtig met blote benen.","","Jemappelle","14,49","Je m appelle","","41,98","","","0","47% Katoen / 45% Modal / 8% Elastan","","","",
"https://www.jemappelle.nl/la-collar","8415","La Collar","https://www.jemappelle.nl/media/catalog/product/k/r/kraagje.jpg","Een mooi wit kraagje onder je sweater, jurkje of t-shirt geeft je de Parijse look en draagt comfortabel. Met dit kraagje geen gedoe meer om een blouse op de juiste manier onder je sweater of jurkje te krijgen.  ","Tops & Tanktops","Tops & Tanktops","21,98","Je m appelle","","28,98","","","0","65% Polyester / 35% Katoen","","","",
